bench	base	dense100	dense200	prf100	prf200
deepscaler_indomain	0.356000	0.352000	0.374000	0.350000	0.320000
gsm8k	0.727824	0.726310	0.736160	0.721759	0.672479
math500	0.650000	0.638000	0.666000	0.674000	0.626000
minerva	0.132353	0.125000	0.150735	0.150735	0.143382
olympiad	0.211310	0.214286	0.218750	0.221726	0.191964
amc23	0.681250	0.665625	0.671875	0.662500	0.640625
mmlu_stem	0.336842	0.331579	0.338158	0.365789	0.351316
aime24	0.262500	0.295833	0.283333	0.258333	0.287500
aime25	0.233333	0.233333	0.241667	0.233333	0.208333
aime26	0.208333	0.183333	0.225000	0.200000	0.179167
hmmt25	0.129167	0.133333	0.141667	0.104167	0.129167
