step,dense,a0p5,exp27,ef_r2,plain
10,0.34796637296676636,2.302778959274292,2.1184115409851074,2.3626794815063477,2.2519705295562744
20,0.26339221000671387,1.5411691665649414,1.4035359621047974,1.2682698965072632,1.5055023431777954
30,0.19430091977119446,0.7877258658409119,0.8815301060676575,0.880422055721283,0.9016652703285217
40,0.1628768891096115,0.4925212860107422,0.6397091150283813,0.5491380095481873,0.7153311371803284
50,,0.3707006275653839,0.40065401792526245,0.3961888253688812,0.478200227022171
55,,,0.3248973488807678,,
60,,,0.3420240581035614,,
64,,,0.2198762148618698,,
65,,,0.2099834680557251,,
66,,,0.07923710346221924,,
67,,,0.08275105804204941,,
