step,dense,a0p5,exp27,ef_r2,plain
10,0.4085828810930252,2.992019832134247,3.330823600292206,2.998090922832489,2.162513792514801
20,0.38726818561553955,3.244480848312378,3.310032367706299,6.4334094524383545,3.4357893466949463
30,0.38118399679660797,3.07521915435791,2.7435649633407593,4.450790524482727,4.024198889732361
40,0.35658226907253265,3.254085898399353,5.912164926528931,7.330989837646484,4.660763382911682
50,,3.0524158477783203,4.450184106826782,7.138254165649414,6.943011045455933
55,,,6.451753854751587,,
60,,,5.570726156234741,,
64,,,23.193039417266846,,
65,,,20.549806118011475,,
66,,,14.244105815887451,,
67,,,39.68778705596924,,
