step,dense,a0p5,exp27,ef_r2,plain
10,211.837890625,243.9833984375,254.3984375,251.72265625,253.6220703125
20,186.361328125,185.3125,209.8525390625,182.2392578125,245.6142578125
30,200.861328125,119.2783203125,180.1318359375,148.7822265625,223.0
40,204.1845703125,125.5166015625,176.52734375,147.37109375,220.978515625
50,,170.4365234375,165.7529296875,145.708984375,197.0244140625
55,,,174.8466796875,,
60,,,171.03125,,
64,,,395.0751953125,,
65,,,448.1337890625,,
66,,,557.595703125,,
67,,,566.0078125,,
