step,dense,a0p5,exp27,ef_r2,plain
10,0.0009678988068344552,0.143669415905606,0.11858084345294628,0.1423550051258644,0.09342602192191407
20,0.0004471483101724516,0.0992983311007265,0.1285032879532082,0.12983700509357732,0.10955444227874978
30,0.000500158478416779,0.09796811132400762,0.107390865443449,0.10433152949553914,0.148478219343815
40,0.0004917331800697866,0.08751710963406367,0.09040596470731543,0.11095877223124262,0.13416596333991038
50,,0.07358750739513198,0.08559171652450459,0.09176738611131441,0.14785065195610514
55,,,0.10156436102261068,,
60,,,0.07382809116825229,,
64,,,0.05577576232371939,,
65,,,0.07755620445823297,,
66,,,0.05474357310322375,,
67,,,0.059518791456412146,,
