step,dense,a0p5,exp27,ef_r2,plain
10,0.02596752501267474,0.10700953072819175,0.088695572965662,0.09542179981053778,0.05411291745667768
20,0.011850113747641444,0.06619935600610916,0.05944661930152506,0.08506711781865306,0.07412711414508522
30,0.012268833925190847,0.05639835276087979,0.06636089189123595,0.1001557380950544,0.10319359216191515
40,0.011202335183043033,0.07765676854614867,0.06248535931808874,0.12941768705059076,0.08881813563857577
50,,0.12230014623492025,0.08262916991952807,0.08051039010751992,0.10226779437562072
55,,,0.10315364070993382,,
60,,,0.06653673352411715,,
64,,,0.07362161171840853,,
65,,,0.19212483723822515,,
66,,,0.046535155779565684,,
67,,,0.3364899336484086,,
