step,entropy,len_mean,len_max,len_min,len_clip_ratio,score_mean,rewards_mean,pg_loss,grad_norm,pg_clipfrac,pg_clipfrac_lower,ppo_kl,val_acc_mean1,spectral_rel_change_mean,anchor_backwards,spectral_corrections,clean_steps,mask_applications
0,,,,,,,,,,,,,0.08491281273692192,,,,,
1,0.3721005320549011,276.1904296875,928,5,0,0.14453125,0.14453125,0.023718844954146334,0.39380939304828644,0.00023179634513326164,0,-1.6500455748413856e-05,,,0,0,0,0
2,0.3999423384666443,279.291015625,1014,6,0,0.16796875,0.16796875,0.022320349411529605,0.37376807630062103,0.00042356444578217634,0,3.848356794189378e-05,,,0,0,0,0
3,0.4177686870098114,280.310546875,1164,4,0,0.2353515625,0.2353515625,0.02737118295772234,0.37382324039936066,0.0016543186820854316,0,0.0004425943604982052,,,0,0,0,0
4,0.39500537514686584,270.494140625,1105,5,0,0.3525390625,0.3525390625,0.03028963150245545,0.40392985939979553,0.0004954374480234947,0,7.101002884868368e-05,,,0,0,0,0
5,0.410920113325119,256.66015625,878,4,0,0.4248046875,0.4248046875,0.022450423929967656,0.4291609823703766,0.004531814136157664,2.6682034786063014e-06,0.0007286499359213661,,,0,0,0,0
6,0.40065139532089233,258.2314453125,16384,4,0.0009765625,0.60546875,0.60546875,0.08443590916158428,0.37832650542259216,0.0009313979023772845,0,0.000250887290356161,,,0,0,0,0
7,0.4033505618572235,235.509765625,1509,4,0,0.6181640625,0.6181640625,0.02791809793416178,0.3853989541530609,0.0008241993128876857,0,0.00023432315235272227,,,0,0,0,0
8,0.42181289196014404,239.5185546875,885,5,0,0.6259765625,0.6259765625,0.026679370450438,0.39257487654685974,0.00045758704482068424,0,1.7220160403397244e-05,,,0,0,0,0
9,0.38807815313339233,230.8720703125,1391,7,0,0.7060546875,0.7060546875,0.04809891913100728,0.42141908407211304,0.0005307257123376985,0,-2.301752032130011e-05,,,0,0,0,0
