step,entropy,len_mean,len_max,len_min,len_clip_ratio,score_mean,rewards_mean,pg_loss,grad_norm,pg_clipfrac,pg_clipfrac_lower,ppo_kl,val_acc_mean1,spectral_rel_change_mean,anchor_backwards,spectral_corrections,clean_steps,mask_applications
1,5.721590995788574,272.833984375,857,5,0,0.1328125,0.1328125,0.11612215487275535,185.1055908203125,0.13397709714627126,0.07284657686614082,0.019757273920390617,,0,0,392,0,0
2,5.710463523864746,283.4501953125,1511,5,0,0.119140625,0.119140625,0.09712330393313096,221.34925842285156,0.12237365116743604,0.06706246274552541,-0.0216077767133811,,0,0,784,0,0
3,5.829777240753174,288.412109375,948,4,0,0.11328125,0.11328125,0.31916388393256057,0.6291466057300568,0.1342022951803301,0.38174508372321725,-6.956949360435829,,0.11502422674616077,1,1176,0,0
4,3.7459218502044678,281.3154296875,1122,4,0,0.1455078125,0.1455078125,0.02317024308740656,2.102911949157715,0.0005930963072842133,0,0.004279247426032917,,0.07688841025573107,1,1568,0,0
5,3.6902401447296143,293.5888671875,16384,5,0.0009765625,0.146484375,0.146484375,0.1405518497367666,2.078969120979309,0.09292181000637356,0.14108844587462954,-1.0157564959372394,,0.17272690348137093,2,1960,0,0
6,3.3119962215423584,276.08984375,1108,7,0,0.1591796875,0.1591796875,0.024512330375728197,1.2127854824066162,0.0008961988010014466,5.36572815690306e-06,0.0023921926209222732,,0.20852230360009233,2,2352,0,0
7,3.278463125228882,268.9501953125,1135,5,0,0.1728515625,0.1728515625,0.02823745200475969,1.2816950678825378,0.001220545065280021,0,0.0033153674393560095,,0.21189869603864392,2,2744,0,0
8,3.293377637863159,276.7646484375,966,4,0,0.220703125,0.220703125,0.18681514975469327,2.5821787118911743,0.25561430001835106,0.08218446647151723,-0.19042807959752395,,0.15472769737243652,3,3136,0,0
9,2.3521814346313477,263.439453125,855,5,0,0.2607421875,0.2607421875,0.012865432656326448,1.3813537955284119,0.0021961226660778266,0,0.003015025310734387,,0.29374566913715433,3,3528,0,0
10,2.3626794815063477,251.72265625,817,5,0,0.3564453125,0.3564453125,0.09542179981053778,2.998090922832489,0.1423550051258644,0.018698248631153547,-0.029538948400968934,,0.16940548119838444,4,3920,0,0
11,1.9263304471969604,251.00390625,958,5,0,0.4189453125,0.4189453125,0.031590656669322925,1.620706856250763,0.004092071860895885,0,0.007839585607314348,,0.36216375552954116,4,4312,0,0
12,1.9198760986328125,256.8896484375,1016,4,0,0.4384765625,0.4384765625,0.023777608331329247,1.5890604853630066,0.005409676337649216,0,0.010985403894210322,,0.4695088928565383,4,4704,0,0
13,1.9003956317901611,244.0888671875,1146,4,0,0.556640625,0.556640625,0.16740173664948088,5.008794784545898,0.28885643715329934,0.03589021662446612,-0.04752881225880401,,0.24658685576702868,5,5096,0,0
14,1.8589675426483154,243.83203125,821,4,0,0.529296875,0.529296875,0.014397011578694219,1.4197269678115845,0.005325168532408497,0,0.014219734016023722,,0.531011045910418,5,5488,0,0
15,1.7404930591583252,229.923828125,795,3,0,0.5673828125,0.5673828125,0.05128602273271099,2.729228973388672,0.1270276128925616,0.007903939932475623,0.049502988453582475,,0.35157634226168144,6,5880,0,0
16,1.5678282976150513,223.3232421875,995,4,0,0.5849609375,0.5849609375,-0.002767433268672903,1.7411993741989136,0.006880486585032486,0,0.014481166810185186,,0.5492465055300569,6,6272,0,0
17,1.5411111116409302,210.962890625,1034,2,0,0.611328125,0.611328125,-0.020089787039978546,2.1449726223945618,0.006028693959137854,4.002305104222614e-06,0.012083766420801112,,0.3554030649972205,6,6664,0,0
18,1.5020157098770142,194.2587890625,1642,4,0,0.6435546875,0.6435546875,0.1195646837577442,3.5808191299438477,0.25382123362942366,0.02371650898317057,0.38220639790446853,,0.4329994494969748,7,7056,0,0
19,1.3049778938293457,192.650390625,922,2,0,0.6552734375,0.6552734375,0.00355537317091148,2.1634498238563538,0.008821152511018227,0,0.016439022989285235,,0.4373166538698941,7,7448,0,0
20,1.2682698965072632,182.2392578125,1002,3,0,0.669921875,0.669921875,0.08506711781865306,6.4334094524383545,0.12983700509357732,0.018397745105176,-0.09778645216368886,,0.14068010428027078,8,7840,0,0
21,1.2662535905838013,183.4990234375,776,4,0,0.6806640625,0.6806640625,0.01273124462022679,4.108209252357483,0.015463260776755305,0,0.02769228649322031,,0.27094852650652124,8,8232,0,0
22,1.2499196529388428,177.1787109375,1007,5,0,0.64453125,0.64453125,0.02042125742536882,5.307301878929138,0.01398869030640526,9.697740779301967e-07,0.025962872672153026,,0.2781895198099011,8,8624,0,0
23,1.1992965936660767,170.2333984375,951,5,0,0.69140625,0.69140625,0.10547134875560005,3.5370317697525024,0.21563522567157634,0.02585201055080688,0.13606487998357863,,0.3076900515553294,9,9016,0,0
24,1.115756630897522,155.5625,482,5,0,0.7236328125,0.7236328125,0.00938231540749257,4.614609360694885,0.023689783420877575,0,0.039050996725109144,,0.16141056421459937,9,9408,0,0
