step,entropy,len_mean,len_max,len_min,len_clip_ratio,score_mean,rewards_mean,pg_loss,grad_norm,pg_clipfrac,pg_clipfrac_lower,ppo_kl,val_acc_mean1,spectral_rel_change_mean,anchor_backwards,spectral_corrections,clean_steps,mask_applications
1,5.668811321258545,271.28515625,1080,4,0,0.1376953125,0.1376953125,0.10979854565266578,328.27970123291016,0.15232932750950567,0.06274748333453317,0.12489382518992898,,0,0,392,0,0
2,5.785022735595703,301.9453125,16384,5,0.0009765625,0.1396484375,0.1396484375,0.09768571320273622,210.09852600097656,0.12598812199212261,0.06850820635918353,-0.010743090564119484,,0,0,784,0,0
3,5.4989399909973145,290.0576171875,932,4,0,0.12890625,0.12890625,0.3638608027513328,0.7679470777511597,0.15214996676058945,0.4624533412861638,-7.177013406995684,,0.07635005385310827,1,1176,0,0
4,3.4926440715789795,280.875,881,5,0,0.1318359375,0.1318359375,0.02489176875769772,2.520407736301422,0.0009548031903250376,0,0.005687405186847627,,0.04019722246507905,1,1568,0,0
5,3.437340497970581,276.0146484375,987,4,0,0.130859375,0.130859375,0.15487124773562755,1.5726166367530823,0.08900990620168159,0.14105525697232224,-1.0330088161863387,,0.07860200323772673,2,1960,0,0
6,2.6094727516174316,273.6201171875,1030,4,0,0.1591796875,0.1591796875,0.02712033652642276,1.3294739127159119,0.0014279423795642288,1.2246281130501302e-05,0.0031870286251627356,,0.07891905990581276,2,2352,0,0
7,2.6343185901641846,275.5888671875,3967,5,0,0.1640625,0.1640625,0.018463025968685542,1.1054579615592957,0.0018134825386368902,0,0.00445166873350189,,0.10457197883717563,2,2744,0,0
8,2.574784278869629,275.7216796875,804,5,0,0.197265625,0.197265625,0.1419025390759998,2.8034346103668213,0.21101709748472786,0.06526232423493639,-0.2341041197339564,,0.06957423619507831,3,3136,0,0
9,2.1402363777160645,271.9892578125,1147,5,0,0.2080078125,0.2080078125,0.033902955471148744,1.7456929087638855,0.0021882370685943897,0,0.004069959029607162,,0.07834793837284859,3,3528,0,0
10,2.1184115409851074,254.3984375,905,5,0,0.2666015625,0.2666015625,0.088695572965662,3.330823600292206,0.11858084345294628,0.020334254902991233,-0.05027719601793024,,0.06438775510261101,4,3920,0,0
11,1.994432806968689,251.44921875,810,4,0,0.296875,0.296875,0.030548165025720664,1.7389549016952515,0.0035080733412087284,0,0.010272393458080842,,0.16355746825776843,4,4312,0,0
12,2.008179187774658,263.134765625,985,5,0,0.326171875,0.326171875,0.02735094520267012,1.3291116952896118,0.004193787224494372,0,0.011374929103823206,,0.18874795847021195,4,4704,0,0
13,1.9602972269058228,259.4306640625,808,58,0,0.3955078125,0.3955078125,0.15576394359231927,3.861303925514221,0.27991073894372676,0.03531259965029676,-0.008450992768246124,,0.09716349033809894,5,5096,0,0
14,1.6764029264450073,260.029296875,725,4,0,0.4248046875,0.4248046875,0.019446346008408,1.3513352870941162,0.005628733428466148,0,0.013151977890970556,,0.21273966918566398,5,5488,0,0
15,1.6091722249984741,244.36328125,890,5,0,0.4560546875,0.4560546875,0.08859507095712615,3.8253502249717712,0.13910598073562142,0.013350947882827313,0.07231823844961127,,0.08854528522232966,6,5880,0,0
16,1.681148886680603,249.7275390625,877,34,0,0.50390625,0.50390625,0.017616316748899408,2.1636086106300354,0.006120876813270115,0,0.015416176564940542,,0.17314340790011445,6,6272,0,0
17,1.6622315645217896,239.484375,1296,38,0,0.544921875,0.544921875,0.009454804516281001,1.5263222455978394,0.004967362605384551,0,0.01034525562214128,,0.17534539991115428,6,6664,0,0
18,1.59762442111969,218.9404296875,806,5,0,0.548828125,0.548828125,0.14574355925469717,4.773200273513794,0.2979294538963586,0.035255010697255784,0.007339944301122614,,0.09777200069487552,7,7056,0,0
