step,entropy,len_mean,len_max,len_min,len_clip_ratio,score_mean,rewards_mean,pg_loss,grad_norm,pg_clipfrac,pg_clipfrac_lower,ppo_kl,val_acc_mean1,spectral_rel_change_mean,anchor_backwards,spectral_corrections,clean_steps,mask_applications
1,5.832769393920898,291.576171875,16384,4,0.0009765625,0.1376953125,0.1376953125,0.11920535776471297,315.68448638916016,0.15652508487255545,0.07621648116401047,0.10005707650066142,,,0,0,0,0
2,5.571962356567383,284.576171875,1051,4,0,0.1298828125,0.1298828125,0.09350962267217255,295.8466110229492,0.1307018006191356,0.05683717679858091,-0.0018369230662642622,,,0,0,0,0
3,5.4101738929748535,289.279296875,1041,5,0,0.12109375,0.12109375,0.35588967212243006,0.7629027366638184,0.14630824189771374,0.43802098312880844,-7.236239468678832,,,1,0,0,0
4,3.415888547897339,278.2685546875,926,4,0,0.1357421875,0.1357421875,0.02172537601654767,1.747382938861847,0.0006944787887732673,0,0.005713874643340944,,,1,0,0,0
5,3.4002912044525146,272.1220703125,871,4,0,0.1259765625,0.1259765625,0.14096208103455865,1.2137041687965393,0.08712050148460548,0.13677189758163877,-1.0762129357317463,,,2,0,0,0
6,2.5959179401397705,275.978515625,1058,4,0,0.1513671875,0.1513671875,0.026046217966722907,1.4497889876365662,0.0013807368873131054,0,0.00186918417653259,,,2,0,0,0
7,2.6097896099090576,275.548828125,1538,5,0,0.1328125,0.1328125,0.016385156650358113,0.9980750381946564,0.001203190694695877,0,0.003587912675732774,,,2,0,0,0
8,2.6016323566436768,279.96875,935,4,0,0.1279296875,0.1279296875,0.10136293165669485,2.241700828075409,0.156767474298249,0.05362104071537033,-0.2353757565882404,,,3,0,0,0
9,2.280724287033081,277.1865234375,4025,5,0,0.1240234375,0.1240234375,0.0175025214289235,1.3237740993499756,0.0015864354522818758,0,0.003232490489622819,,,3,0,0,0
10,2.2519705295562744,253.6220703125,680,5,0,0.16015625,0.16015625,0.05411291745667768,2.162513792514801,0.09342602192191407,0.01628228233767004,-0.02898195486076105,,,4,0,0,0
11,2.0076026916503906,261.65234375,932,5,0,0.130859375,0.130859375,0.026301056877855444,1.2400214672088623,0.003453697567238123,0,0.00890026503043373,,,4,0,0,0
12,2.0181617736816406,275.962890625,861,5,0,0.12109375,0.12109375,0.019236895716403524,1.1270489692687988,0.002738501256544623,0,0.008393741318158732,,,4,0,0,0
13,1.9819473028182983,267.3037109375,1026,4,0,0.1318359375,0.1318359375,0.09819426147714694,3.0888129472732544,0.15111791958770482,0.045671300621506816,-0.18294808128354134,,,5,0,0,0
14,1.819189429283142,278.33203125,910,6,0,0.16796875,0.16796875,0.019906601390175638,1.3021753430366516,0.004897328324773298,0,0.013452138134198321,,,5,0,0,0
15,1.7339481115341187,261.318359375,811,4,0,0.169921875,0.169921875,0.05985698546828644,1.827658325433731,0.09662021334952442,0.010687707051602047,0.043396013207569695,,,6,0,0,0
16,1.6275763511657715,268.064453125,1195,4,0,0.1689453125,0.1689453125,0.016689874180883635,1.6903809905052185,0.005369863020860066,0,0.014515511577997131,,,6,0,0,0
17,1.6337850093841553,257.8193359375,830,5,0,0.2138671875,0.2138671875,0.017658290398230747,1.4966604113578796,0.0065944812586167245,0,0.0133154191767062,,,6,0,0,0
18,1.5682783126831055,251.1455078125,938,4,0,0.212890625,0.212890625,0.11705051566423208,4.480872631072998,0.19832386977941496,0.041869047724503616,-0.08497261904940956,,,7,0,0,0
19,1.5131813287734985,254.58203125,875,5,0,0.2275390625,0.2275390625,0.027152193281835935,1.5899409055709839,0.008080443900780665,0,0.015359697044914356,,,7,0,0,0
20,1.5055023431777954,245.6142578125,808,5,0,0.26953125,0.26953125,0.07412711414508522,3.4357893466949463,0.10955444227874978,0.017286908137975843,-0.023089941653978485,,,8,0,0,0
21,1.5038223266601562,248.37890625,1089,5,0,0.2431640625,0.2431640625,0.012891775117623183,1.2223641276359558,0.011828418974687338,0,0.020872217903161072,,,8,0,0,0
22,1.487762689590454,248.29296875,952,4,0,0.26953125,0.26953125,0.021702828004890762,1.3729172945022583,0.016613031606539153,0,0.024117240568102716,,,8,0,0,0
23,1.4390785694122314,247.4580078125,850,6,0,0.3017578125,0.3017578125,0.12794427638800698,3.1849584579467773,0.2752260583511088,0.029617039532013223,0.21107926717098735,,,9,0,0,0
