step,entropy,len_mean,len_max,len_min,len_clip_ratio,score_mean,rewards_mean,pg_loss,grad_norm,pg_clipfrac,pg_clipfrac_lower,ppo_kl,val_acc_mean1,spectral_rel_change_mean,anchor_backwards,spectral_corrections,clean_steps,mask_applications
1,5.685052871704102,276.197265625,1079,4,0,0.126953125,0.126953125,0.10163735758260373,241.011474609375,0.13025264658790547,0.06703608220050228,-0.08773310463561756,,0,0,392,0,0
2,5.791306018829346,287.6669921875,1073,6,0,0.119140625,0.119140625,0.10033665803257463,250.16701126098633,0.14896938423044048,0.07002434703736071,0.14489070313015873,,0,0,784,0,0
3,5.729098320007324,287.05859375,987,5,0,0.12109375,0.12109375,0.3244689518960513,0.5828875601291656,0.13975159934489056,0.38223684584954754,-7.045970398699865,,0.7092915314192675,1,1176,0,0
4,3.6318559646606445,279.94140625,1210,5,0,0.125,0.125,0.026855483163672034,1.847045511007309,0.0005460056952415471,0,0.0005136673836982908,,0.7034156033579184,1,1568,0,0
5,3.6321446895599365,273.478515625,1838,4,0,0.1630859375,0.1630859375,0.17101942339104426,2.1284990906715393,0.1075053426247905,0.14836744352942333,-0.9999980664579198,,0.6893637346065774,2,1960,0,0
6,2.8080830574035645,270.978515625,963,4,0,0.1796875,0.1796875,0.025218382229013514,1.3683204054832458,0.0012009557564169882,2.4475250484101707e-06,0.001710073394358247,,0.7000330713938694,2,2352,0,0
7,2.856794834136963,266.080078125,997,4,0,0.224609375,0.224609375,0.03274283876635309,1.301502525806427,0.0011521320687961634,0,0.0017414277950171808,,0.6942559749800332,2,2744,0,0
8,2.8656604290008545,275.064453125,978,5,0,0.2646484375,0.2646484375,0.18267099123295338,3.094510555267334,0.25559866391995456,0.06568816475191852,-0.21109329973484137,,0.6906108497356882,3,3136,0,0
9,2.325087547302246,266.2705078125,842,5,0,0.3310546875,0.3310546875,0.020994720398448408,1.0845401883125305,0.001877824057601174,9.788942406885326e-06,0.0020449231315131655,,0.6874124383439824,3,3528,0,0
10,2.302778959274292,243.9833984375,1080,3,0,0.4072265625,0.4072265625,0.10700953072819175,2.992019832134247,0.143669415905606,0.020951939912720263,-0.057353369736688364,,0.7015058039402475,4,3920,0,0
11,2.1368536949157715,249.193359375,915,5,0,0.4638671875,0.4638671875,0.034752817129628966,2.093431830406189,0.0022196742722826457,0,0.004136769550953545,,0.6718545805434791,4,4312,0,0
12,2.1531968116760254,255.6455078125,726,4,0,0.482421875,0.482421875,0.0187426614920696,1.3364748358726501,0.0029884825329418163,0,0.006170455543426101,,0.6742636371327906,4,4704,0,0
13,2.094552755355835,239.5146484375,747,4,0,0.5966796875,0.5966796875,0.14274262842809549,2.944668769836426,0.27690331952180713,0.02021099367811985,0.11553566177369134,,0.7086849881678211,5,5096,0,0
14,1.7683976888656616,247.09765625,876,4,0,0.5693359375,0.5693359375,0.022090758245212783,1.588572084903717,0.0034883088662809314,0,0.006947386429605906,,0.6859371283528756,5,5488,0,0
15,1.70027494430542,228.294921875,1013,5,0,0.634765625,0.634765625,0.08620253615936235,3.363249897956848,0.12966735984082334,0.017798408945964184,-0.002139388722453006,,0.6860965473615394,6,5880,0,0
16,1.7847237586975098,229.7685546875,1082,4,0,0.6708984375,0.6708984375,0.01010727610446338,1.2508923411369324,0.003368428837347892,0,0.008783857840398923,,0.6965111466694851,6,6272,0,0
17,1.8299932479858398,229.6494140625,16384,5,0.0009765625,0.6513671875,0.6513671875,0.12149835420950694,16.94230216741562,0.002817000737422859,0,0.005554031586783026,,0.7032494771541381,6,6664,0,0
18,1.7277671098709106,201.7119140625,4204,5,0,0.712890625,0.712890625,0.2485889134095487,26.001198530197144,0.21452050266816514,0.017263731073853705,0.1356190385735374,,0.7019100154236871,7,7056,0,0
19,1.580531120300293,199.4033203125,817,4,0,0.7080078125,0.7080078125,0.02721370513609145,1.8982442021369934,0.0049114785247184045,0,0.010871023435058191,,0.6866591639664709,7,7448,0,0
20,1.5411691665649414,185.3125,737,5,0,0.6943359375,0.6943359375,0.06619935600610916,3.244480848312378,0.0992983311007265,0.008203121678889147,0.10508605065834331,,0.687348988287303,8,7840,0,0
21,1.413230299949646,182.5556640625,892,4,0,0.716796875,0.716796875,0.01972740272685769,2.682941436767578,0.012553529951219389,0,0.02914862255602202,,0.732344383487896,8,8232,0,0
22,1.369422197341919,178.9560546875,1002,12,0,0.7021484375,0.7021484375,0.0411879000494082,2.8272207379341125,0.012423869343137994,0,0.02846335831873148,,0.7384324326198928,8,8624,0,0
23,1.2952409982681274,163.4951171875,714,34,0,0.7353515625,0.7353515625,0.08511021975573385,1.794213593006134,0.17957073686557123,0.016117580310492485,0.1329161506271248,,0.7079759994331671,9,9016,0,0
