# Restart 2026-05-28T17:00:58+10:00 — clean parser
ts,g0_util,g1_util,g2_util,g3_util,g0_mem_mb,g1_mem_mb,g2_mem_mb,g3_mem_mb,g0_pwr_w,g1_pwr_w,g2_pwr_w,g3_pwr_w,done_flag
2026-05-28T17:00:58+10:00,0,0,0,0,4,4,4,4,75.80,77.20,75.76,75.46,
2026-05-28T17:01:17+10:00,0,0,0,0,4,4,4,4,75.75,77.20,75.70,75.63,
2026-05-28T17:01:36+10:00,0,0,0,0,3010,3010,3010,3010,118.30,121.46,118.84,120.19,
2026-05-28T17:01:55+10:00,0,0,0,0,3010,3010,3010,3010,118.41,121.79,119.00,120.20,
2026-05-28T17:02:14+10:00,0,0,0,0,3010,3010,3010,3010,118.55,122.07,119.06,120.34,
2026-05-28T17:02:33+10:00,0,0,0,0,10197,10197,8455,8455,190.34,137.66,119.16,120.91,
2026-05-28T17:02:52+10:00,0,0,0,0,62613,62613,62613,62613,132.55,132.41,133.74,142.96,
2026-05-28T17:03:11+10:00,22,22,22,22,59491,59491,59491,59491,122.68,126.59,123.42,125.02,
2026-05-28T17:03:30+10:00,1,1,1,0,20061,20061,20061,20061,137.69,142.21,139.60,140.06,
2026-05-28T17:03:49+10:00,0,0,0,0,45467,45467,45465,45467,118.92,123.00,119.48,120.87,
2026-05-28T17:04:08+10:00,20,15,17,16,48147,48147,48247,48527,166.20,168.94,164.37,166.89,
2026-05-28T17:04:27+10:00,9,10,19,34,46989,47009,47009,47009,129.00,133.41,131.34,131.39,
2026-05-28T17:04:47+10:00,3,2,2,2,56465,57965,58245,56665,120.21,125.32,120.14,122.27,
2026-05-28T17:05:06+10:00,21,7,14,28,51529,51689,51669,51729,147.86,152.41,149.14,147.70,
2026-05-28T17:05:25+10:00,18,22,18,22,98427,98347,98407,98427,122.67,128.68,124.27,125.55,
2026-05-28T17:05:44+10:00,8,19,31,54,53147,52947,53187,53347,187.55,186.07,165.48,166.66,
2026-05-28T17:06:04+10:00,49,44,3,35,47269,47169,47589,47669,130.91,134.45,131.95,134.18,
2026-05-28T17:06:23+10:00,2,2,2,0,50285,49585,49117,49097,120.13,125.26,120.60,122.85,
2026-05-28T17:06:42+10:00,39,16,38,49,59929,59949,59949,60011,147.85,153.05,147.67,146.76,
2026-05-28T17:07:01+10:00,22,18,18,18,91487,94907,73487,78849,122.69,127.96,121.60,124.08,
2026-05-28T17:07:21+10:00,98,100,98,97,47469,47287,47269,47609,153.94,160.73,154.41,158.58,
2026-05-28T17:07:40+10:00,3,3,1,5,47611,47231,47411,47513,121.95,127.75,124.47,124.80,
2026-05-28T17:07:59+10:00,0,0,0,0,0,0,0,0,76.29,78.03,76.25,76.39,yes
