ISO_TIME,G0_UTIL,G1_UTIL,G2_UTIL,G3_UTIL,G0_MEM,G1_MEM,G2_MEM,G3_MEM,G0_PWR,G1_PWR,G2_PWR,G3_PWR
2026-05-28T06:43:04Z, try again after a few seconds,, 08455 MiB, 08455 MiB, and double check your ssh key.,, 8455, 8455,,, 122.92, 127.08
2026-05-28T06:43:27Z, try again after a few seconds,, 010077 MiB, 010077 MiB, and double check your ssh key.,, 10077, 10077,,, 118.78, 123.53
2026-05-28T06:43:50Z, try again after a few seconds,, 062725 MiB, 062725 MiB, and double check your ssh key.,, 62725, 62725,,, 119.05, 123.81
2026-05-28T06:44:13Z, try again after a few seconds,, 059603 MiB, 059603 MiB, and double check your ssh key.,, 59603, 59603,,, 118.64, 123.49
ts,g0_util,g1_util,g2_util,g3_util,g0_mem,g1_mem,g2_mem,g3_mem,g0_pwr,g1_pwr,g2_pwr,g3_pwr
2026-05-28T06:44:36Z, try again after a few seconds,, 222739 MiB, 2722737 MiB, and double check your ssh key.,, 22739, 22737,,, 135.98, 146.43
2026-05-28T06:44:58Z, try again after a few seconds,, 045579 MiB, 045577 MiB, and double check your ssh key.,, 45579, 45577,,, 118.88, 123.74
2026-05-28T06:45:21Z, try again after a few seconds,, 3098403 MiB, 3598423 MiB, and double check your ssh key.,, 98403, 98423,,, 135.42, 138.40
2026-05-28T06:45:44Z, try again after a few seconds,, 267859 MiB, 1366139 MiB, and double check your ssh key.,, 67859, 66139,,, 120.71, 125.86
# Restart 2026-05-28T16:45:59+10:00 — clean parser
ts,g0_util,g1_util,g2_util,g3_util,g0_mem_mb,g1_mem_mb,g2_mem_mb,g3_mem_mb,g0_pwr_w,g1_pwr_w,g2_pwr_w,g3_pwr_w,done_flag
2026-05-28T16:45:59+10:00,0,95,8,95,66273,67753,67205,71791,147.71,151.93,148.62,152.45,
2026-05-28T06:46:08Z, try again after a few seconds,, 080559 MiB, 282379 MiB, and double check your ssh key.,, 80559, 82379,,, 121.49, 126.60
2026-05-28T16:46:18+10:00,20,55,39,33,62281,62261,62261,62261,157.40,162.89,160.27,159.73,
2026-05-28T06:46:31Z, try again after a few seconds,, 450357 MiB, 351257 MiB, and double check your ssh key.,, 50357, 51257,,, 120.48, 125.56
2026-05-28T16:46:37+10:00,33,100,33,100,98643,98643,98543,98583,164.11,172.99,162.29,168.92,
2026-05-28T16:46:56+10:00,24,88,7,96,72311,72811,72651,72813,160.34,164.56,160.02,159.17,
2026-05-28T06:46:54Z, try again after a few seconds,, 449209 MiB, 254777 MiB, and double check your ssh key.,, 49209, 54777,,, 121.18, 125.46
2026-05-28T16:47:15+10:00,0,0,0,0,46757,46777,47177,47219,123.54,127.46,124.10,123.29,
2026-05-28T06:47:17Z, try again after a few seconds,, 358999 MiB, 457997 MiB, and double check your ssh key.,, 58999, 57997,,, 120.53, 125.89
2026-05-28T16:47:34+10:00,4,2,2,1,52277,51035,52257,54477,120.78,126.10,121.95,123.41,
2026-05-28T06:47:40Z, try again after a few seconds,, 362919 MiB, 460297 MiB, and double check your ssh key.,, 62919, 60297,,, 122.56, 127.89
2026-05-28T16:47:53+10:00,3,3,2,1,48025,48263,46739,48547,120.41,125.52,132.85,122.78,
2026-05-28T06:48:03Z, try again after a few seconds,, 065143 MiB, 10066195 MiB, and double check your ssh key.,, 65143, 66195,,, 166.12, 172.00
2026-05-28T16:48:13+10:00,31,100,35,100,98965,98845,98725,98785,186.21,196.45,193.93,201.38,
2026-05-28T06:48:26Z, try again after a few seconds,, 2062883 MiB, 4462863 MiB, and double check your ssh key.,, 62883, 62863,,, 178.75, 182.99
2026-05-28T16:48:32+10:00,65,63,11,38,73253,73153,73213,72473,152.76,158.40,155.05,154.62,
